,open,close,high,low,volume
2018-03-05 10:30:00,10.294,10.3097,10.3099,10.2814,12861.250000000002
2018-03-05 11:00:00,10.3097,10.3448,10.378,10.3093,11773.359999999999
2018-03-05 11:30:00,10.3439,10.347,10.3732,10.3251,4392.72
2018-03-05 12:00:00,10.3378,10.398,10.4,10.3378,9188.999999999996
2018-03-05 12:30:00,10.3893,10.3579,10.3999,10.325,8009.409999999998
2018-03-05 13:00:00,10.3511,10.2986,10.3578,10.2826,5211.64
2018-03-05 13:30:00,10.2985,10.2873,10.3077,10.28,4902.29
2018-03-05 14:00:00,10.2873,10.2598,10.3174,10.25,7978.670000000002
2018-03-05 14:30:00,10.2517,10.242,10.27,10.21,11046.759999999998
2018-03-05 15:00:00,10.2401,10.2305,10.2626,10.2202,8762.45
2018-03-05 15:30:00,10.2254,10.255,10.3,10.2177,8834.269999999999
2018-03-05 16:00:00,10.2448,10.2992,10.3,10.2405,6453.92
2018-03-05 16:30:00,10.2957,10.2829,10.2957,10.2623,2429.630000000001
2018-03-05 17:00:00,10.2778,10.3,10.3,10.2624,4439.469999999999
2018-03-05 17:30:00,10.2993,10.2801,10.3,10.2662,3301.84
2018-03-05 18:00:00,10.279,10.262,10.289,10.2461,2069.1600000000003
2018-03-05 18:30:00,10.262,10.31,10.3456,10.2601,8525.349999999999
2018-03-05 19:00:00,10.31,10.3315,10.44,10.279,35878.95
2018-03-05 19:30:00,10.33,10.293,10.3448,10.2765,4087.5599999999995
2018-03-05 20:00:00,10.293,10.2448,10.3146,10.2423,8999.640000000001
2018-03-05 20:30:00,10.2425,10.1708,10.258,10.1521,15140.489999999998
2018-03-05 21:00:00,10.1654,10.1725,10.2,10.16,7741.490000000002
2018-03-05 21:30:00,10.1725,10.2,10.2,10.167,4990.01
2018-03-05 22:00:00,10.1999,10.1996,10.2371,10.1666,5541.43
2018-03-05 22:30:00,10.2047,10.15,10.2146,10.15,6057.37
2018-03-05 23:00:00,10.15,10.1433,10.1629,10.1262,7799.12
2018-03-05 23:30:00,10.14,10.0847,10.1643,10.0847,10637.3
2018-03-06 00:00:00,10.084,9.9486,10.0888,9.9341,32520.289999999997
2018-03-06 00:30:00,9.94,10.0269,10.0675,9.9331,21348.89
2018-03-06 01:00:00,10.0269,9.98,10.0414,9.9069,13307.649999999996
2018-03-06 01:30:00,9.98,9.9953,9.9972,9.931,5883.85
2018-03-06 02:00:00,9.9869,9.9666,9.9953,9.94,6659.269999999999
2018-03-06 02:30:00,9.965,9.988,9.988,9.933,7420.1
2018-03-06 03:00:00,9.988,9.95,9.9997,9.9485,16450.309999999998
2018-03-06 03:30:00,9.9498,10.0608,10.0674,9.933,14196.31
2018-03-06 04:00:00,10.0532,10.0868,10.134,10.0514,16922.090000000004
2018-03-06 04:30:00,10.0811,10.002,10.12,10.0001,13814.380000000003
2018-03-06 05:00:00,10.002,10.0371,10.0654,9.9979,8342.89
2018-03-06 05:30:00,10.0255,10.057,10.07,10.003,3819.94
2018-03-06 06:00:00,10.0562,10.0576,10.07,10.0294,5217.54
2018-03-06 06:30:00,10.0476,10.0229,10.0549,10.0,6066.5
2018-03-06 07:00:00,10.0229,9.92,10.0235,9.8,45875.099999999984
2018-03-06 07:30:00,9.92,9.9459,9.9459,9.9003,8195.609999999999
2018-03-06 08:00:00,9.9416,9.9457,9.9685,9.9,4316.370000000001
2018-03-06 08:30:00,9.9455,9.9184,9.9473,9.855,9312.770000000002
2018-03-06 09:00:00,9.9378,9.9805,10.0,9.9184,3494.5299999999993
2018-03-06 09:30:00,9.98,9.9484,9.9864,9.9481,3995.3800000000006
2018-03-06 10:00:00,9.9481,9.7859,9.9683,9.78,28170.99
2018-03-06 10:30:00,9.7877,9.6227,9.7877,9.572,33372.56999999999
2018-03-06 11:00:00,9.6123,9.5201,9.6404,9.5201,19727.500000000004
2018-03-06 11:30:00,9.5525,9.5933,9.6178,9.5202,50424.61
2018-03-06 12:00:00,9.5932,9.4893,9.6698,9.4413,58276.71
2018-03-06 12:30:00,9.487,9.4382,9.5,9.3483,30831.340000000004
2018-03-06 13:00:00,9.4374,9.4467,9.45,9.4289,12181.839999999997
2018-03-06 13:30:00,9.44,9.3135,9.4449,9.2621,27454.69
2018-03-06 14:00:00,9.3135,9.405,9.423,9.301,36715.56000000001
2018-03-06 14:30:00,9.4049,9.4895,9.5,9.3864,48352.01000000001
2018-03-06 15:00:00,9.4831,9.52,9.52,9.4517,44587.78999999999
2018-03-06 15:30:00,9.52,9.4819,9.52,9.4559,19329.580000000005
2018-03-06 16:00:00,9.4724,9.4649,9.49,9.4001,18363.39
2018-03-06 16:30:00,9.4495,9.4442,9.4495,9.409,18503.93
2018-03-06 17:00:00,9.4439,9.2961,9.4494,9.281,21376.359999999997
2018-03-06 17:30:00,9.2828,9.2899,9.3,9.2621,37553.219999999994
2018-03-06 18:00:00,9.2898,9.2989,9.34,9.2758,29435.63000000001
2018-03-06 18:30:00,9.2989,9.2502,9.35,9.2502,28861.019999999986
2018-03-06 19:00:00,9.2504,9.1257,9.26,9.1251,25933.91
2018-03-06 19:30:00,9.1257,9.23,9.23,9.1025,16180.479999999998
2018-03-06 20:00:00,9.23,9.2223,9.2335,9.1576,10594.02
2018-03-06 20:30:00,9.2092,9.2456,9.2845,9.1639,9220.490000000002
2018-03-06 21:00:00,9.2463,9.37,9.4,9.2272,13544.630000000003
2018-03-06 21:30:00,9.37,9.3636,9.3999,9.34,16479.850000000002
2018-03-06 22:00:00,9.3622,9.3497,9.3747,9.3,10132.79
2018-03-06 22:30:00,9.3497,9.4,9.4136,9.32,7148.389999999999
2018-03-06 23:00:00,9.4,9.3057,9.42,9.2458,11510.340000000002
2018-03-06 23:30:00,9.3085,9.3899,9.4,9.3027,8571.289999999999
2018-03-07 00:00:00,9.3899,9.469,9.469,9.3709,13005.740000000002
2018-03-07 00:30:00,9.4604,9.5646,9.5646,9.4365,18051.77
2018-03-07 01:00:00,9.56,9.5289,9.5666,9.4948,30436.66999999999
2018-03-07 01:30:00,9.5196,9.6067,9.65,9.51,29620.820000000003
2018-03-07 02:00:00,9.6067,9.5632,9.6861,9.5599,28699.67
2018-03-07 02:30:00,9.5632,9.549,9.575,9.5,29145.029999999995
2018-03-07 03:00:00,9.548,9.4756,9.55,9.431,28985.98
2018-03-07 03:30:00,9.4756,9.5072,9.5188,9.42,34537.37
2018-03-07 04:00:00,9.5072,9.5697,9.57,9.5072,32607.41999999999
2018-03-07 04:30:00,9.5697,9.5855,9.5914,9.5279,26258.600000000006
2018-03-07 05:00:00,9.5875,9.6105,9.64,9.5855,35288.44
2018-03-07 05:30:00,9.6068,9.5419,9.75,9.5137,111112.77999999997
2018-03-07 06:00:00,9.5418,9.515,9.5732,9.424,74167.97000000002
2018-03-07 06:30:00,9.5122,9.4396,9.5318,9.424,53391.75
2018-03-07 07:00:00,9.4299,9.413,9.47,9.41,43718.66000000001
2018-03-07 07:30:00,9.413,9.3763,9.4335,9.3016,33927.99999999999
2018-03-07 08:00:00,9.3763,9.4858,9.4859,9.3677,14195.829999999998
2018-03-07 08:30:00,9.4765,9.4565,9.485,9.36,17405.61
2018-03-07 09:00:00,9.4525,9.385,9.46,9.33,19747.880000000005
2018-03-07 09:30:00,9.3856,9.332,9.3892,9.25,24106.30000000001
2018-03-07 10:00:00,9.3395,9.405,9.4541,9.2959,24013.37
2018-03-07 10:30:00,9.3953,9.3761,9.4097,9.3358,13330.470000000003
2018-03-07 11:00:00,9.3679,9.5195,9.5299,9.3488,26201.96
2018-03-07 11:30:00,9.5155,9.6695,9.6695,9.5155,35758.69999999999
2018-03-07 12:00:00,9.6645,9.6572,9.69,9.6165,28712.5
2018-03-07 12:30:00,9.6603,9.7398,9.88,9.6574,41801.310000000005
2018-03-07 13:00:00,9.7397,9.9868,9.9868,9.7114,39557.060000000005
2018-03-07 13:30:00,9.9868,9.9699,10.2114,9.8324,163761.55
2018-03-07 14:00:00,9.9699,9.7514,10.011,9.578,77136.49999999999
2018-03-07 14:30:00,9.749,9.9335,9.9793,9.6744,48991.23000000001
2018-03-07 15:00:00,9.9702,9.6336,9.9987,9.555,121143.21
2018-03-07 15:30:00,9.63,9.4855,9.6638,9.39,107648.20000000001
2018-03-07 16:00:00,9.4855,9.001,9.4868,9.0,78450.45000000001
2018-03-07 16:30:00,9.001,8.55,9.0354,8.15,306438.22000000003
2018-03-07 17:00:00,8.5537,8.33,8.952,8.11,243350.09
2018-03-07 17:30:00,8.33,8.7481,8.9554,8.2062,185256.63
2018-03-07 18:00:00,8.7242,8.72,9.0538,8.6358,150822.73999999996
2018-03-07 18:30:00,8.7163,8.7448,8.9369,8.6192,74137.23999999998
2018-03-07 19:00:00,8.74,8.616,8.7826,8.58,44654.920000000006
2018-03-07 19:30:00,8.616,8.799,8.82,8.4,43885.62
2018-03-07 20:00:00,8.7923,8.6689,8.799,8.35,42714.25000000001
2018-03-07 20:30:00,8.6689,8.664,8.715,8.6498,27458.39
2018-03-07 21:00:00,8.664,8.745,8.7989,8.4101,35874.4
2018-03-07 21:30:00,8.744,8.81,8.87,8.7296,29794.19
2018-03-07 22:00:00,8.809,8.9169,8.9575,8.7999,73247.62999999999
2018-03-07 22:30:00,8.9155,8.8873,8.9471,8.75,57564.81
2018-03-07 23:00:00,8.8859,8.9999,9.0299,8.8518,65399.859999999986
2018-03-07 23:30:00,8.9941,9.0405,9.0499,8.8544,45113.270000000004
2018-03-08 00:00:00,9.0446,9.1255,9.1921,8.9336,70390.93
2018-03-08 00:30:00,9.1313,8.9745,9.1661,8.9745,51336.829999999994
